// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2011-06-10
// This file contains "set words" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "daily" is "XXXX-XX-XX"
// FORMAT: "set-word","normalized-set-word"
"Annually","XXXX"
"annually","XXXX"
"Monthly","XXXX-XX"
"monthly","XXXX-XX"
"Daily","XXXX-XX-XX"
"daily","XXXX-XX-XX"
"Weekly","XXXX-WXX"
"weekly","XXXX-WXX"
"Hourly","XXXX-XX-XXTXX"
"hourly","XXXX-XX-XXTXX"
"Nightly","XXXX-XX-XX"
"nightly","XXXX-XX-XX"
"Yearly","XXXX"
"yearly","XXXX"
"Quarterly","P3M"
"quarterly","P3M"
